CpG,logFC,t,P.Value,adj.P.Val,B,Male_ART_mean,Female_ART_mean,Male_nonART_mean,Female_nonART_mean,Male_nonART_v_ART_dB,Female_nonART_v_ART_dB,chr,pos,bacon_pvalue,adj_bacon_pvalue
cg00018261,0.105218995572291,1.54949677956425,0.123867068647896,0.776601970100069,-4.64926469328717,0.0789484514225172,0.658870612015403,0.119326914954754,0.672830605996305,-0.0403784635322366,-0.0139599939809016,chrX,117957689,0.215028304499587,1
cg00019168,-0.0746108634325622,-0.852357944101639,0.395694954132304,0.898729402487598,-5.39386135121464,0.627386365995147,0.670264744036372,0.648469441066683,0.650994918485173,-0.0210830750715356,0.0192698255511987,chrX,45612345,0.286992461410299,1
cg00021786,-0.0539638605694922,-0.52759527547307,0.598743836136542,0.943861975682931,-5.59506943853145,0.943885311672298,0.887408980649727,0.937439750383981,0.881838540038832,0.00644556128831697,0.00557044061089484,chrX,31090306,0.451371765556667,1
cg00022064,0.060014703158718,0.97046048983794,0.333747813112878,0.8840165962607,-5.29749813988041,0.344183064672918,0.360374242033519,0.335750466241094,0.370780826608018,0.00843259843182365,-0.0104065845744992,chrX,40906133,0.493806675326581,1
cg00023415,-0.109449176551312,-1.44909105265034,0.149892037952983,0.788073642502904,-4.78232377226276,0.906512780994785,0.895031123594554,0.904321718547134,0.888991405997069,0.00219106244765144,0.00603971759748534,chrX,48435152,0.101565111107935,1
cg00025987,0.0446789200945987,0.714418881607549,0.476340547249515,0.918932554473352,-5.4907899264804,0.349792941316911,0.455481782822521,0.374495063706396,0.462170458667593,-0.0247021223894851,-0.00668867584507166,chrX,15512019,0.660956608761386,1
cg00027076,0.0383516829761471,0.445328558440226,0.65687592899583,0.951585856466609,-5.6310907491524,0.770088784367364,0.757439133147963,0.744587109754742,0.760913194114767,0.025501674612622,-0.00347406096680314,chrX,65897391,0.856839797480261,1
cg00027454,0.0472791093077032,0.45309017160594,0.651293106017453,0.951585856466609,-5.62795145805618,0.563570269471213,0.587414818178982,0.525196504655093,0.590936957931487,0.0383737648161194,-0.00352213975250482,chrX,46740285,0.8509975719907,1
cg00029931,0.16119477859212,1.35983702875255,0.176403261780214,0.811217562302198,-4.89339770531348,0.0959588000646211,0.51326920894709,0.118544717165601,0.543809364946735,-0.0225859171009801,-0.0305401559996452,chrX,100645741,0.290111584869981,1
cg00030125,0.0994616152824215,0.886984288157211,0.376842296706493,0.895517799060778,-5.36688364105018,0.890249888242801,0.81818125423602,0.892666125584053,0.826451129738676,-0.00241623734125151,-0.00826987550265634,chrX,125299403,0.545730129223617,1
cg00031235,-0.16640616718882,-1.63614801354099,0.104400298849782,0.752321587994789,-4.52758453041307,0.892819057869295,0.780277969555707,0.886573413409475,0.760692198447348,0.00624564445982001,0.0195857711083589,chrX,49124819,0.0692484195843646,1
cg00032666,0.0286434618219795,0.365114180648881,0.715661902957186,0.964688324551951,-5.66036714255512,0.707916652066531,0.678062878092544,0.702461401604725,0.679551337074768,0.00545525046180584,-0.00148845898222427,chrX,149613398,0.917620070783182,1
cg00033732,-0.0923320723958472,-1.14880555348619,0.252896082423665,0.856370624017418,-5.12876888184648,0.128510069473408,0.14967265126691,0.132303631031557,0.145956402830142,-0.00379356155814914,0.00371624843676807,chrX,131151414,0.177277083365871,1
cg00034639,0.225259172899385,3.27769946022759,0.00136540816671286,0.218409807313481,-1.09884992170325,0.69994129883372,0.673412679373884,0.702069998314363,0.701300998571217,-0.00212869948064309,-0.0278883191973335,chrX,138529221,0.00375452724831373,1
cg00034731,-0.00401477217592367,-0.0505275201871075,0.959785113865004,0.994424168465456,-5.71930433268075,0.729127411715539,0.69838260881205,0.707818384092215,0.702132347643836,0.0213090276233235,-0.00374973883178553,chrX,68348071,0.767703919081484,1
cg00035864,0.0523278490146896,0.519717709099416,0.604207299892998,0.944823092601015,-5.59878122762333,0.181547825494676,0.45630695463214,0.170948111856201,0.474083599650035,0.0105997136384747,-0.0177766450178956,chrY,8553009,0.801214655762743,1
cg00036045,-0.09834213063957,-0.929427083023062,0.354513390108674,0.889498626075152,-5.33237232404751,0.425798421214983,0.382242668077052,0.410667369654142,0.372650865653243,0.0151310515608405,0.00959180242380986,chrX,49945417,0.254832057937348,1
cg00037117,0.103504742925193,1.04611306662978,0.297588598049551,0.868893648101109,-5.22932337585338,0.71414395592253,0.777237731299328,0.68865455445092,0.787155656792092,0.0254894014716106,-0.00991792549276371,chrX,44730718,0.449136063960576,1
cg00039328,-0.0908859612255298,-1.02197259052841,0.308827403376452,0.873080726185444,-5.25162305850604,0.786079446855644,0.72963147105359,0.783071453719389,0.718015587874359,0.00300799313625477,0.0116158831792308,chrX,100991852,0.219638785989416,1
cg00040455,0.0744975450909755,0.860251756972274,0.391347074614915,0.898469951935307,-5.38780444972754,0.103242318631344,0.394945723173591,0.135960016890649,0.411249690417497,-0.0327176982593046,-0.0163039672439058,chrX,30326676,0.562912653433218,1
cg00040923,0.0164872114728131,0.301998718406908,0.76317012911392,0.971155817096358,-5.67933812442292,0.664115287873668,0.630873348471742,0.653366887838947,0.625853988614707,0.0107484000347208,0.00501935985703494,chrX,100806880,0.965803370822395,1
cg00042688,0.146127985478794,1.39825933380916,0.164586084182216,0.803940757978951,-4.84641709418233,0.676002133449138,0.717310728239244,0.61696112060458,0.737144620363788,0.0590410128445585,-0.019833892124544,chrX,41331272,0.273629076960686,1
cg00042902,0.0667159440645777,0.708477934034578,0.480007574469434,0.919760125917716,-5.49458507552222,0.217791476986132,0.623560448755588,0.249386247486313,0.637157173445535,-0.0315947705001805,-0.0135967246899472,chrX,100663564,0.665092926862316,1
cg00042904,0.144357994721201,1.72290058522893,0.0874544139625139,0.741161549969193,-4.3994559747576,0.817977520184716,0.83110764428807,0.799539062834343,0.84196030352422,0.0184384573503734,-0.0108526592361508,chrX,62654766,0.159653063027677,1
cg00045034,-0.0296112366929876,-0.383856465875859,0.701756731123682,0.962057372693821,-5.65404402765226,0.0550362925563078,0.429008530124301,0.0792342104597776,0.420834138212544,-0.0241979179034699,0.00817439191175701,chrX,48937892,0.538415069139385,1
cg00046099,0.116442358642064,1.23684979677376,0.218531722680327,0.834142805373304,-5.03524984576047,0.146697219930845,0.628493617805419,0.190370670972889,0.653742375127945,-0.0436734510420438,-0.0252487573225261,chrX,54556443,0.347284454738669,1
cg00050611,0.0388244793872489,0.588686298068896,0.557166167922981,0.935084127486311,-5.56439935267283,0.865308264448895,0.853879135475527,0.858316048430048,0.85326614252951,0.00699221601884725,6.1299294601713e-4,chrX,9644533,0.750521837325111,1
cg00051952,0.0836954492707223,0.801634141607397,0.424331937919734,0.904188142152306,-5.43146606029248,0.730051882310211,0.739488292825071,0.721366109860976,0.744953503574936,0.00868577244923552,-0.00546521074986461,chrX,153605299,0.601477778421766,1
cg00055165,-0.12975880641183,-1.49523148147917,0.1374507070357,0.78030247978295,-4.72223994378141,0.220563259778481,0.76820749968733,0.254590162893697,0.748743485070524,-0.0340269031152155,0.0194640146168056,chrX,47004968,0.0926493406883636,1
cg00057417,0.0441536315925172,0.444011501326004,0.657825208753936,0.951585856466609,-5.63161808749423,0.75620541450355,0.778967553212032,0.736505610061779,0.788136514872035,0.0196998044417708,-0.00916896166000225,chrX,30878739,0.85783194450453,1
cg00058055,0.188541978733535,2.16296522292382,0.0325052932039755,0.632716451286448,-3.65421646787134,0.782009476078099,0.816828124820019,0.765748174693668,0.83900487512337,0.0162613013844309,-0.0221767503033513,chrX,34650711,0.0674767930498807,1
cg00059162,-0.0200832973343885,-0.201385488068568,0.840734422081431,0.983858377029836,-5.70216743309606,0.236275338164754,0.200737720820764,0.239775015110465,0.195925394431325,-0.00349967694571118,0.00481232638943921,chrX,22154251,0.659843632962281,1
cg00059277,0.0102980881853903,0.185029944499641,0.853514512873759,0.984422316109116,-5.70501694305165,0.865305730387642,0.794720569096593,0.856434910564071,0.79161141532158,0.00887081982357096,0.00310915377501297,chrX,123040864,0.944702862163885,1
cg00060843,0.145522031066945,1.34799583224478,0.18017128247112,0.813559805838411,-4.90762140343904,0.788649326141808,0.769912741889617,0.776203543868367,0.785557064425883,0.0124457822734413,-0.0156443225362654,chrX,48726699,0.295323260154359,1
cg00061679,-0.00938687707509058,-0.103279203368981,0.917911907541451,0.989200687559515,-5.71564514934437,0.624291129902332,0.500810670565672,0.609578918421226,0.489054009176906,0.0147122114811066,0.0117566613887659,chrY,25314171,0.729346268213564,1
cg00063477,0.137542608806488,1.25158182588565,0.213130109252025,0.83292217437043,-5.0189457449378,0.893454028499808,0.490371049604599,0.875435898075271,0.502197281821286,0.0180181304245373,-0.0118262322166865,chrY,22741795,0.340081061096797,1
cg00064180,-0.226498399109641,-2.29764975414282,0.0232948361328324,0.590344543028839,-3.39505396180234,0.188615939616314,0.208782679167932,0.177084761550785,0.185026695303489,0.0115311780655298,0.0237559838644434,chrX,95940914,0.0142257452185772,1
cg00066481,0.0970235314929646,1.31799341308304,0.189989028959177,0.818091989698099,-4.94312141298006,0.795355158146564,0.844675544599237,0.807967816343791,0.84940671675923,-0.0126126581972272,-0.0047311721599933,chrX,3094722,0.30880744273089,1
cg00069001,-0.182923253415228,-1.57800663415368,0.117168003967536,0.770216268088641,-4.60992751561626,0.893435927117301,0.76261347856952,0.88770714321823,0.73804889326579,0.00572878389907161,0.0245645853037301,chrX,70349688,0.0782369732934358,1
cg00070205,0.0898910959778054,0.7918204292412,0.430010841623805,0.905300278150118,-5.43847844830516,0.650377645684211,0.714053466902227,0.667000650014825,0.729936079031163,-0.016623004330614,-0.0158826121289359,chrX,22107974,0.608049091732105,1
cg00070542,0.0977670141046892,1.08213174636923,0.28134016776494,0.861839659810648,-5.19510295499354,0.396533697671056,0.430813814823267,0.396580517240806,0.437263202550649,-4.68195697501117e-5,-0.00644938772738224,chrX,79830095,0.428701074580669,1
cg00071863,0.226851801451959,2.00292289086183,0.0474146947078382,0.670937271110154,-3.94343431249238,0.506734179416798,0.379158391941201,0.517090701677191,0.419280326849205,-0.0103565222603933,-0.0401219349080044,chrY,2664544,0.0939493265876296,1
cg00072288,0.00503102381177617,0.0363061532924824,0.971097913722117,0.996278787642563,-5.71986128823111,0.10060065411206,0.445038189452752,0.120642830629208,0.443901426979493,-0.0200421765171474,0.00113676247325828,chrX,153200492,0.832058691077025,1
cg00072587,0.0478228022251479,0.518344630020623,0.605161909620819,0.944823092601015,-5.59942251519011,0.307359610518006,0.372095222837662,0.294475152193749,0.387554128359574,0.0128844583242563,-0.0154589055219124,chrX,19531567,0.802233226257662,1
cg00072799,0.0477906776549696,0.553797681709473,0.580736573173962,0.940018181665047,-5.5823236349636,0.698227771582929,0.742794880757799,0.70401219340052,0.749541941014411,-0.00578442181759153,-0.00674706025661187,chrX,78427682,0.776046054531567,1
cg00072839,0.236176650430365,2.60036316026732,0.0104693846828284,0.469328496237523,-2.76124620332545,0.130681909610373,0.152830148713933,0.148855999717267,0.174583381553563,-0.0181740901068942,-0.0217532328396293,chrX,91035267,0.0245652273679688,1
cg00074638,0.0288475589864329,0.902039911801865,0.368823016939431,0.892711920680722,-5.35482337395331,0.566029971048967,0.567646769247022,0.5755074412314,0.572235113836007,-0.00947747018243339,-0.00458834458898516,chrX,2883307,0.536168871339632,1
cg00076099,0.161853645346517,2.0055263935834,0.0471319482558056,0.670937271110154,-3.93889411550222,0.732612494992071,0.712813565976378,0.697681521994936,0.736023729702846,0.0349309729971344,-0.023210163726468,chrX,119745181,0.0934601559771871,1
cg00076400,0.0435995324513981,0.317509046644022,0.751403176090934,0.969038053560468,-5.67500813653361,0.165190284666603,0.552829018656027,0.210201410763547,0.572522303876291,-0.0450111260969438,-0.0196932852202638,chrX,140271552,0.953944151988554,1
cg00078867,-0.00903884227552156,-0.109901763263406,0.912668870772107,0.989085632129798,-5.7150084593786,0.129735699812451,0.53656604802311,0.145046740023927,0.538635761444477,-0.0153110402114762,-0.0020697134213673,chrX,48542398,0.724576040173442,1
cg00079479,0.131044155208587,1.67514357684954,0.0964817622178559,0.750489283548282,-4.47076806695217,0.0986326892174021,0.584652461911924,0.130189703945404,0.603683936113868,-0.0315570147280019,-0.0190314742019434,chrX,133119778,0.173698284846238,1
cg00081572,0.163895134108602,2.08941539661162,0.0387599737392506,0.654616075254615,-3.78967857733676,0.775280053054727,0.740504401248155,0.734077077866108,0.757947401752429,0.0412029751886184,-0.0174430005042735,chrX,90693612,0.0787622548209136,1
cg00090581,-0.00891627405558293,-0.0896205456386101,0.928736540855766,0.989806829844487,-5.71683338169818,0.760454234867752,0.747404277266849,0.728136450786717,0.755021509686524,0.0323177840810341,-0.00761723241967505,chrX,66834407,0.739217562395831,1
cg00091810,0.0473347561385058,0.503925739352381,0.615227433710362,0.946653165888417,-5.60605480315514,0.857719191493264,0.712070409135942,0.848156412546354,0.715983834549395,0.0095627789469106,-0.0039134254134533,chrX,153632032,0.812949355779449,1
cg00093999,-0.135694156181524,-1.22701126066919,0.222194134173514,0.836172558030289,-5.04603370911248,0.878454020591635,0.757424370059336,0.886153821408283,0.742375751749204,-0.00769980081664801,0.0150486183101319,chrX,129146918,0.15438121090514,1
cg00096071,0.0589465383776075,0.772369694337752,0.44139752363657,0.910011470211656,-5.45212456831047,0.911034162120638,0.859783343036707,0.898584611072597,0.86271608488638,0.0124495510480407,-0.00293274184967374,chrX,77396435,0.621166992554043,1
cg00097839,-0.0651303413820732,-0.762915185209242,0.446994863171165,0.910487474957408,-5.45863635395545,0.794898834108187,0.742668058682116,0.7762339139413,0.730677827645612,0.0186649201668868,0.0119902310365033,chrX,65223689,0.327618789931377,1
cg00098732,-0.0534144029637648,-0.717537195684581,0.474422016215095,0.918468960470624,-5.48878534459926,0.85731312003006,0.690571100985116,0.861925323418935,0.682820599837335,-0.00461220338887502,0.00775050114778075,chrX,132096915,0.349592036960247,1
cg00099616,0.0608001286875616,0.688563523959926,0.492412580306012,0.921581576596785,-5.50707753495162,0.106323897688092,0.508268911383945,0.137649652012368,0.522378715430707,-0.031325754324276,-0.0141098040467615,chrX,100646545,0.679032025132122,1
cg00101578,-0.0457202725036807,-0.55839254335932,0.57760545855792,0.93941347848065,-5.58002522232167,0.780001779701642,0.748649378143953,0.763892021920956,0.744702827758623,0.0161097577806855,0.00394655038533076,chrX,145509155,0.43381488047642,1
cg00102779,-0.0238454330060368,-0.279355348117845,0.78044780925004,0.97434721008857506,-5.68527073367073,0.530136308763918,0.665348250368415,0.501336589774691,0.66574359743321,0.0287997189892272,-3.9534706479493e-4,chrX,46421835,0.606593697334947,1
cg00108056,0.01344327864171,0.255946876650805,0.798425319594236,0.977551910306123,-5.6909186319806,0.0785630194296561,0.366224202531133,0.0925732131534336,0.371410407478923,-0.0140101937237775,-0.00518620494779015,chrX,153627317,0.998950882057933,1
cg00108737,0.0672856348396745,0.656854446737789,0.512518596106214,0.926669959977902,-5.52623998290074,0.694273612249982,0.723674891905035,0.705407650158849,0.734658280281135,-0.0111340379088677,-0.0109833883760999,chrX,117628241,0.701453408263134,1
cg00111239,0.0230977180356702,0.211209154768837,0.833078437319121,0.983120891010546,-5.70034005918027,0.0767470791075478,0.398384849586129,0.112203865000026,0.411024841542829,-0.0354567858924783,-0.0126399919567,chrX,71238329,0.964712229697634,1
cg00112229,0.0071678050022943,0.0860704612407696,0.931552291202336,0.990320895939122,-5.71711467302677,0.831737169462317,0.663837230793978,0.814849686051027,0.663444547605109,0.0168874834112899,3.9268318886898e-4,chrX,13084638,0.869484983394975,1
cg00112256,0.0248264559476773,0.542238337373924,0.58864893065506,0.941548965170273,-5.58802225382252,0.106176015946599,0.55375819446237,0.134611614214749,0.55968801969132,-0.0284355982681496,-0.0059298252289508,chrX,117629928,0.784557934328295,1
cg00113442,0.056550198482402,0.579017828874379,0.563650636962237,0.936584782788706,-5.5694755916426,0.736785241478341,0.695748991848805,0.732523065483344,0.707186971362385,0.00426217599499612,-0.0114379795135796,chrX,21767359,0.757569236180875,1
cg00113623,-0.0134836467001058,-0.181501480334211,0.856276860692378,0.984598063363656,-5.7056000694704,0.110726313449571,0.594267082405677,0.181872787597122,0.590817420164084,-0.0711464741475512,0.00344966224159249,chrX,153640221,0.673718429810479,1
cg00114625,0.0928378196145065,1.83343891203431,0.0691886022232305,0.717771039522247,-4.22713459250031,0.0738119842606912,0.588308851550383,0.10609497217137,0.605139269152914,-0.0322829879106788,-0.0168304176025317,chrX,24483478,0.13045710605182,1
cg00114913,0.00478086988083609,0.0564964089535793,0.955039296123102,0.994290946188218,-5.7190162204526,0.0844654817060435,0.517620339680673,0.104705819371418,0.525162177263112,-0.0202403376653744,-0.00754183758243909,chrX,118107540,0.847202343531918,1
cg00116265,-0.128998807071895,-1.28735993347196,0.200419381949168,0.825981251678824,-4.97856917499417,0.210595493368998,0.51755651713055,0.212913411723078,0.495166351537407,-0.00231791835407949,0.0223901655931431,chrX,46306111,0.138305566121794,1
cg00116709,0.0417576166846173,0.460198224144827,0.646197678644392,0.951307062551952,-5.62502910442635,0.156702995755579,0.741803580305281,0.208137768800404,0.751543565128823,-0.0514347730448254,-0.00973998482354199,chrX,49020091,0.845654443500293,1
cg00116765,-0.114923283601364,-1.35143636954274,0.17907027216564,0.811994295853459,-4.9035010143862,0.82001104563619,0.834841779260216,0.798103403016061,0.826964271045513,0.0219076426201291,0.00787750821470246,chrX,13823741,0.122682258498056,1
cg00117066,-0.148427351465997,-1.483753307997,0.140467722656773,0.782271332044065,-4.7373558350732,0.832093058048615,0.718172721353907,0.820758906449346,0.695699150402411,0.0113341515992694,0.0224735709514954,chrX,16140434,0.094806325854638,1
cg00117663,0.259890155027637,2.39842044970681,0.017989375508195,0.555153259590162,-3.1918725255862,0.845821394487559,0.852232534507055,0.831510986864639,0.875405776257153,0.0143104076229205,-0.0231732417500976,chrX,35816347,0.0399363885717365,1
cg00118309,-0.0844024195200272,-1.18190014975328,0.239556736460956,0.846405052478701,-5.09440549229748,0.671176293119461,0.516612616496943,0.666118236138495,0.504572054133502,0.00505805698096584,0.0120405623634406,chrX,76141257,0.167297103167587,1
cg00120118,0.00206605778965238,0.0212638747106143,0.983070093806771,0.998314728316018,-5.72025186395448,0.717375594369139,0.712704088699707,0.698625698294855,0.723931734930374,0.0187498960742838,-0.0112276462306665,chrX,33230718,0.820816325175263,1
cg00120172,0.182530202734331,1.996581984511,0.0481093786559344,0.670937271110154,-3.95446916632628,0.859164493289208,0.873856134177794,0.842415398682924,0.886690115505588,0.0167490946062835,-0.012833981327794,chrX,77042539,0.0951493076383732,1
cg00121626,-0.157236481819231,-1.70456953596798,0.0908343591937104,0.745131534271347,-4.42705320243144,0.307349801036473,0.451555884794726,0.313912987506542,0.439935668663072,-0.00656318647006965,0.0116202161316548,chrY,21664296,0.0597754039730736,1
cg00121904,0.307959096287291,2.53995356483183,0.012349811944801,0.492273174848177,-2.89330961030404,0.101181992474087,0.233195178127637,0.104575995177747,0.264963784948683,-0.00339400270365997,-0.0317686068210461,chrX,43741826,0.0285091229691578,1
cg00123001,-0.116595372541859,-1.35914344513823,0.176622316522617,0.811217562302198,-4.89423415747329,0.916567318579806,0.912366229092658,0.895953183316278,0.905024113057726,0.0206141352635271,0.00734211603493173,chrX,13395880,0.120899909187219,1
cg00124101,-0.155339651285842,-2.84321657696042,0.0052421740880672,0.37632017886612,-2.20296709545153,0.651613136650493,0.688288775560564,0.644442243410471,0.665965810285588,0.00717089324002296,0.0223229652749763,chrX,133932303,0.00293000144150246,1
cg00124708,0.0820356623709539,1.08094323403828,0.281866402740485,0.861839659810648,-5.19625022572413,0.679641820633575,0.72464917002067,0.673582390574325,0.733159094112905,0.00605943005924969,-0.00850992409223505,chrX,100877463,0.429366624159227,1
cg00126657,0.0785870263945806,1.06236770046501,0.290178924224688,0.86713485775852,-5.21402075057915,0.807553090970754,0.702785293347076,0.790289431651595,0.715854832764725,0.0172636593191591,-0.0130695394176495,chrX,47967250,0.439846422217142,1
cg00126698,-0.0549019990295803,-0.626828080028756,0.531949716609692,0.929711090916212,-5.54355929778094,0.747721411935565,0.686918016926286,0.700868185125268,0.684243543569806,0.0468532268102968,0.00267447335647963,chrX,100640503,0.396246001379383,1
cg00127620,-0.115429293437057,-1.59580711964335,0.113133535325333,0.762229898363576,-4.58501940474932,0.870988959108235,0.785064011837183,0.859068016417893,0.775597322775518,0.0119209426903418,0.00946668906166492,chrX,17096915,0.0753893766748952,1
cg00128197,0.218068740292137,2.10974543289759,0.0369352315098532,0.648061385799077,-3.75266681720285,0.0799516679084884,0.302177250620824,0.0903043617529667,0.335231190216883,-0.0103526938444782,-0.0330539395960587,chrX,53461455,0.0754991324716773,1
cg00129074,-0.0964150166023983,-1.08420591956796,0.28042340853639,0.861839659810648,-5.19309779992819,0.822168144746255,0.739356503730877,0.821464819718121,0.727900836550672,7.0332502813375e-4,0.0114556671802055,chrX,23093824,0.198023690149427,1
cg00130498,0.0153386833235742,0.22853315885411,0.81961654291614,0.980441334664103,-5.69690563708268,0.643404781409572,0.604371029647851,0.635577941098232,0.607755754492413,0.00782684031134029,-0.00338472484456209,chrX,129192712,0.977966375506093,1
cg00130820,0.150015069284111,1.17394879941608,0.242714894838109,0.847837113341569,-5.10274855344405,0.0643985871954104,0.278399134831523,0.0786516688458071,0.295462872268128,-0.0142530816503967,-0.0170637374366052,chrX,129535871,0.379121795812486,1
cg00133938,0.0624236938418104,0.713140807569811,0.477128119243428,0.918998390224804,-5.49160902649391,0.817869073831418,0.777599638334304,0.786242251803898,0.788880192601508,0.0316268220275197,-0.0112805542672038,chrX,13348766,0.661845585206368,1
cg00135489,-0.0601820962380159,-0.663465498543715,0.508291218980527,0.92566142688718,-5.52231871234181,0.914802720465288,0.901727064451737,0.902191541107527,0.897920363482171,0.0126111793577613,0.00380670096956681,chrX,12390367,0.376966907137034,1
cg00136034,-0.148936472417544,-1.64506950606779,0.102544048989669,0.752321587994789,-4.51469824766019,0.322860981823447,0.254746830050519,0.305139012091495,0.242401566090177,0.0177219697319519,0.0123452639603423,chrX,45057745,0.0679473505290411,1
cg00136787,0.175300181713759,1.79098078830081,0.0757898502923829,0.725977253142313,-4.29451908186724,0.898880770104661,0.893214003423866,0.893616363575606,0.903239019621632,0.00526440652905513,-0.0100250161977655,chrX,153704948,0.141138958824661,1
cg00138463,0.0836868210162451,1.28561672091726,0.201025409736933,0.826088987586614,-4.9805620346873,0.901334992931411,0.892975151833233,0.890864306395835,0.897619860306004,0.0104706865355758,-0.00464470847277099,chrX,40448133,0.323808431971908,1
cg00139317,0.0779508625308619,1.41494019902706,0.15964763252484,0.797683915395482,-4.82562746415456,0.0581472824950665,0.518870146105271,0.0998304738249632,0.531807693720974,-0.0416831913298968,-0.0129375476157031,chrX,24665544,0.266676485888598,1
cg00140189,0.0925873366166396,0.965622499515176,0.336154012054159,0.885601746208217,-5.30168697012035,0.884383167160207,0.672741385784445,0.87386197498091,0.680313770545479,0.0105211921792974,-0.00757238476103395,chrX,10128888,0.496742088449752,1
cg00140764,-0.00841419022240208,-0.150922936943744,0.880287160777388,0.9875059174248,-5.71018357928351,0.874794807800264,0.843782752601697,0.872523836227783,0.841378169286099,0.00227097157248091,0.00240458331559767,chrX,13836319,0.695272627252296,1
cg00140927,-0.029630161485321,-0.305272608676237,0.760681661862404,0.970648002532629,-5.67844218035291,0.629551994385925,0.635069921603078,0.616237025326916,0.624037550286979,0.0133149690590095,0.0110323713160992,chrX,136445269,0.58932833493956,1
