"CpG","proportion"
"cg14993456",0.043
"cg25550082",0.043
"cg06408185",0.042
"cg18241219",0.042
"cg26519783",0.042
"cg01488378",0.041
"cg01910452",0.041
"cg18364820",0.041
"cg22601215",0.041
"cg25225807",0.041
"cg06231015",0.04
"cg21776057",0.04
"cg03966760",0.039
"cg04950665",0.039
"cg06110954",0.039
"cg06945800",0.039
"cg09623439",0.039
"cg14358549",0.039
"cg15667675",0.039
"cg00760931",0.038
"cg04326875",0.038
"cg04344997",0.038
"cg04771154",0.038
"cg17274142",0.038
"cg21256713",0.038
"cg24597825",0.038
"cg03811849",0.037
"cg05039749",0.037
"cg13658640",0.037
"cg19687650",0.037
"cg22619531",0.037
"cg23174160",0.037
"cg24714666",0.037
"cg26323797",0.037
"cg04183498",0.036
"cg12453500",0.036
"cg13484245",0.036
"cg17355066",0.036
"cg19094615",0.036
"cg21206285",0.036
"cg21411942",0.036
"cg24835233",0.036
"cg26755008",0.036
"cg27403913",0.036
"cg07052886",0.035
"cg18785414",0.035
"cg18849630",0.035
"cg20919227",0.035
"cg23408987",0.035
"cg23726559",0.035
"cg03532875",0.034
"cg08416046",0.034
"cg12656748",0.034
"cg14354749",0.034
"cg18197005",0.034
"cg01314576",0.033
"cg05655038",0.033
"cg10191725",0.033
"cg15392343",0.033
"cg15757320",0.033
"cg16590821",0.033
"cg18116135",0.033
"cg23304135",0.033
"cg24091241",0.033
"cg27523218",0.033
"cg01861690",0.032
"cg02696431",0.032
"cg02803670",0.032
"cg05223760",0.032
"cg05503743",0.032
"cg09131957",0.032
"cg12375308",0.032
"cg13058551",0.032
"cg18653991",0.032
"cg20333676",0.032
"cg20501527",0.032
"cg22899869",0.032
"cg23170483",0.032
"cg23693475",0.032
"cg25316166",0.032
"cg00179446",0.031
"cg06384524",0.031
"cg12427017",0.031
"cg16890879",0.031
"cg22575892",0.031
"cg23279654",0.031
"cg24263233",0.031
"cg00164589",0.03
"cg02725002",0.03
"cg05280964",0.03
"cg01249047",0.029
"cg04177697",0.029
"cg06776776",0.029
"cg09407693",0.029
"cg12230670",0.029
"cg16025003",0.029
"cg18240390",0.029
"cg19284023",0.029
"cg19992190",0.029
"cg24657313",0.029
"cg26786476",0.029
"cg02939364",0.028
"cg06140460",0.028
"cg07863318",0.028
"cg07879804",0.028
"cg09238847",0.028
"cg11081925",0.028
"cg11184697",0.028
"cg17041400",0.028
"cg17712673",0.028
"cg18496053",0.028
"cg18572843",0.028
"cg20556598",0.028
"cg00917018",0.027
"cg00993916",0.027
"cg05101176",0.027
"cg08757574",0.027
"cg10869581",0.027
"cg11710314",0.027
"cg19011478",0.027
"cg22846914",0.027
"cg25576048",0.027
"cg02085493",0.026
"cg04793532",0.026
"cg05875427",0.026
"cg06072560",0.026
"cg06079963",0.026
"cg10566479",0.026
"cg13204375",0.026
"cg17725109",0.026
"cg18932686",0.026
"cg19488991",0.026
"cg24655427",0.026
"cg26418790",0.026
"cg00076400",0.025
"cg01195014",0.025
"cg03434530",0.025
"cg04587983",0.025
"cg05088151",0.025
"cg07913091",0.025
"cg08531145",0.025
"cg09517019",0.025
"cg11186637",0.025
"cg12963132",0.025
"cg15322570",0.025
"cg22267947",0.025
"cg24522076",0.025
"cg25634978",0.025
"cg25643517",0.025
"cg00787015",0.024
"cg00854963",0.024
"cg01303569",0.024
"cg02205962",0.024
"cg02952681",0.024
"cg04031645",0.024
"cg04703500",0.024
"cg05345404",0.024
"cg08195522",0.024
"cg08408091",0.024
"cg08871573",0.024
"cg13282942",0.024
"cg13443410",0.024
"cg13651586",0.024
"cg14022645",0.024
"cg15715844",0.024
"cg16269097",0.024
"cg17396400",0.024
"cg18731813",0.024
"cg22712681",0.024
"cg23731288",0.024
"cg26488590",0.024
"cg26489554",0.024
"cg27279086",0.024
"cg01143780",0.023
"cg02892589",0.023
"cg03498605",0.023
"cg07618153",0.023
"cg09694718",0.023
"cg12102690",0.023
"cg23680829",0.023
"cg23773646",0.023
"cg26144445",0.023
"cg00729461",0.022
"cg02340744",0.022
"cg04327763",0.022
"cg06803079",0.022
"cg07910525",0.022
"cg13014982",0.022
"cg15449131",0.022
"cg18492813",0.022
"cg23689357",0.022
"cg23935933",0.022
"cg26510526",0.022
"cg26891267",0.022
"cg01999215",0.021
"cg03169432",0.021
"cg04412185",0.021
"cg05445331",0.021
"cg08398435",0.021
"cg08472691",0.021
"cg08591489",0.021
"cg09012264",0.021
"cg09188049",0.021
"cg09912841",0.021
"cg09965404",0.021
"cg11272332",0.021
"cg11485485",0.021
"cg11520843",0.021
"cg13379035",0.021
"cg14145674",0.021
"cg15919369",0.021
"cg16468136",0.021
"cg16681914",0.021
"cg16737869",0.021
"cg17056186",0.021
"cg17105897",0.021
"cg17206029",0.021
"cg17258276",0.021
"cg20767561",0.021
"cg21727314",0.021
"cg22151216",0.021
"cg22799132",0.021
"cg23709838",0.021
"cg24511534",0.021
"cg25409213",0.021
"cg26450896",0.021
"cg27350602",0.021
"cg00781978",0.02
"cg00968475",0.02
"cg01150083",0.02
"cg01289637",0.02
"cg01991530",0.02
"cg03692228",0.02
"cg03812736",0.02
"cg04195142",0.02
"cg05175213",0.02
"cg05555725",0.02
"cg06054941",0.02
"cg10873964",0.02
"cg13115455",0.02
"cg13187778",0.02
"cg13645941",0.02
"cg14388009",0.02
"cg16145139",0.02
"cg23212388",0.02
"cg23323745",0.02
"cg23559748",0.02
"cg23851088",0.02
"cg24049075",0.02
"cg27327591",0.02
"cg00055165",0.019
"cg00066481",0.019
"cg01574129",0.019
"cg02730781",0.019
"cg03250911",0.019
"cg03670113",0.019
"cg04072009",0.019
"cg04424215",0.019
"cg04634158",0.019
"cg05008355",0.019
"cg05859577",0.019
"cg06058203",0.019
"cg06131655",0.019
"cg06547474",0.019
"cg06775759",0.019
"cg08620133",0.019
"cg08959161",0.019
"cg09050238",0.019
"cg10786329",0.019
"cg10848980",0.019
"cg11190082",0.019
"cg15858894",0.019
"cg17665836",0.019
"cg18478786",0.019
"cg18632412",0.019
"cg20034238",0.019
"cg21114800",0.019
"cg21156383",0.019
"cg22795938",0.019
"cg23762217",0.019
"cg25454336",0.019
"cg25508573",0.019
"cg27296089",0.019
"cg00192980",0.018
"cg01229799",0.018
"cg01924074",0.018
"cg02504092",0.018
"cg03552552",0.018
"cg04292836",0.018
"cg06443675",0.018
"cg06650546",0.018
"cg07481063",0.018
"cg08199506",0.018
"cg08476892",0.018
"cg08649587",0.018
"cg11409998",0.018
"cg13183496",0.018
"cg15964901",0.018
"cg16341506",0.018
"cg16507965",0.018
"cg21537947",0.018
"cg23215575",0.018
"cg23508627",0.018
"cg25622910",0.018
"cg25813447",0.018
"cg00006848",0.017
"cg00538420",0.017
"cg01118900",0.017
"cg05237609",0.017
"cg11194545",0.017
"cg11364153",0.017
"cg12254959",0.017
"cg12377327",0.017
"cg13027792",0.017
"cg16690931",0.017
"cg17831057",0.017
"cg19605705",0.017
"cg20085561",0.017
"cg20153682",0.017
"cg20281601",0.017
"cg20359784",0.017
"cg20367264",0.017
"cg20963428",0.017
"cg23652733",0.017
"cg23845335",0.017
"cg25126198",0.017
"cg25590318",0.017
"cg26155374",0.017
"cg26342575",0.017
"cg26918720",0.017
"cg27483305",0.017
"ch.X.56864533F",0.017
"cg00416689",0.016
"cg01000789",0.016
"cg01051089",0.016
"cg01410230",0.016
"cg02723311",0.016
"cg02896361",0.016
"cg02912158",0.016
"cg03033576",0.016
"cg03598947",0.016
"cg03662494",0.016
"cg04602218",0.016
"cg05237470",0.016
"cg05442715",0.016
"cg05689315",0.016
"cg08578454",0.016
"cg09728400",0.016
"cg09863225",0.016
"cg10407245",0.016
"cg13489115",0.016
"cg13557909",0.016
"cg15369199",0.016
"cg15670241",0.016
"cg15959908",0.016
"cg17155577",0.016
"cg17512860",0.016
"cg17824914",0.016
"cg17978625",0.016
"cg20098118",0.016
"cg20430749",0.016
"cg21410798",0.016
"cg22032510",0.016
"cg24278877",0.016
"cg26339788",0.016
"cg00016522",0.015
"cg00389918",0.015
"cg00391103",0.015
"cg00785903",0.015
"cg00939965",0.015
"cg01251131",0.015
"cg02826340",0.015
"cg04044694",0.015
"cg04440464",0.015
"cg04558060",0.015
"cg04575501",0.015
"cg04934239",0.015
"cg05418506",0.015
"cg05692422",0.015
"cg07240096",0.015
"cg07882687",0.015
"cg08697944",0.015
"cg09252497",0.015
"cg09441088",0.015
"cg09909750",0.015
"cg10088372",0.015
"cg10342933",0.015
"cg11472201",0.015
"cg11906884",0.015
"cg13060629",0.015
"cg13144786",0.015
"cg13367883",0.015
"cg14587978",0.015
"cg14608910",0.015
"cg14699343",0.015
"cg15073264",0.015
"cg15355401",0.015
"cg15867166",0.015
"cg16116118",0.015
"cg16786117",0.015
"cg17878135",0.015
"cg18264930",0.015
"cg18741915",0.015
"cg20448001",0.015
"cg22815074",0.015
"cg22978992",0.015
"cg25129414",0.015
"cg25758314",0.015
"cg25918823",0.015
"cg26857803",0.015
"ch.X.42854404F",0.015
"cg00645049",0.014
"cg00804686",0.014
"cg00920537",0.014
"cg02127807",0.014
"cg02327463",0.014
"cg02424254",0.014
"cg02497062",0.014
"cg05891083",0.014
"cg06258895",0.014
"cg06736315",0.014
"cg07086565",0.014
"cg07967374",0.014
"cg08108858",0.014
"cg08310502",0.014
"cg09555679",0.014
"cg10495496",0.014
"cg10689910",0.014
"cg10994247",0.014
"cg13009425",0.014
"cg13802340",0.014
"cg14137819",0.014
"cg14748699",0.014
"cg14772068",0.014
"cg15027721",0.014
"cg15162843",0.014
"cg15265401",0.014
"cg16641060",0.014
"cg17033281",0.014
"cg17619403",0.014
"cg21190244",0.014
"cg23214760",0.014
"cg23499980",0.014
"cg24479484",0.014
"cg25167424",0.014
"cg25717578",0.014
"cg25883790",0.014
"cg26332175",0.014
"cg26445203",0.014
"cg27084087",0.014
"cg27470278",0.014
"cg00634642",0.013
"cg01722378",0.013
"cg03173582",0.013
"cg03204600",0.013
"cg03429758",0.013
"cg04960964",0.013
"cg05060623",0.013
"cg05184076",0.013
"cg05419227",0.013
"cg06269080",0.013
"cg07553115",0.013
"cg07833133",0.013
"cg07902213",0.013
"cg09102275",0.013
"cg09252204",0.013
"cg09656677",0.013
"cg09700325",0.013
"cg09703824",0.013
"cg10801213",0.013
"cg10851587",0.013
"cg11062554",0.013
"cg11863519",0.013
"cg12610146",0.013
"cg12866035",0.013
"cg13465764",0.013
"cg13663390",0.013
"cg14137558",0.013
"cg14625604",0.013
"cg14699015",0.013
"cg15002478",0.013
"cg15549017",0.013
"cg15755924",0.013
"cg16350494",0.013
"cg16357225",0.013
"cg16496390",0.013
"cg17380767",0.013
"cg17929087",0.013
"cg18105344",0.013
"cg19481013",0.013
"cg20097093",0.013
"cg20415115",0.013
"cg20664034",0.013
"cg21128398",0.013
"cg21501064",0.013
"cg22396288",0.013
"cg22625945",0.013
"cg22760825",0.013
"cg22817042",0.013
"cg23137005",0.013
"cg23604959",0.013
"cg24035953",0.013
"cg24185987",0.013
"cg25071429",0.013
"cg26340003",0.013
"cg26383049",0.013
"cg27198824",0.013
"cg00263759",0.012
"cg00283022",0.012
"cg00404599",0.012
"cg00790443",0.012
"cg00861065",0.012
"cg01126962",0.012
"cg01752331",0.012
"cg03010388",0.012
"cg03209964",0.012
"cg03210191",0.012
"cg05240083",0.012
"cg05658184",0.012
"cg06144608",0.012
"cg06168496",0.012
"cg06273571",0.012
"cg06872843",0.012
"cg07115324",0.012
"cg07780887",0.012
"cg07798824",0.012
"cg07930217",0.012
"cg10060499",0.012
"cg10347034",0.012
"cg10909179",0.012
"cg10989169",0.012
"cg11019134",0.012
"cg11778030",0.012
"cg11975279",0.012
"cg12513189",0.012
"cg12689022",0.012
"cg12727431",0.012
"cg13195284",0.012
"cg13839119",0.012
"cg14384906",0.012
"cg15594578",0.012
"cg15725869",0.012
"cg16202051",0.012
"cg16688612",0.012
"cg16809091",0.012
"cg17339773",0.012
"cg18470539",0.012
"cg18528674",0.012
"cg18995182",0.012
"cg19298476",0.012
"cg19572135",0.012
"cg21525764",0.012
"cg22311608",0.012
"cg23369480",0.012
"cg23533179",0.012
"cg24761827",0.012
"cg25590811",0.012
"cg25968748",0.012
"cg26223128",0.012
"cg27058480",0.012
"cg27501007",0.012
"cg00188971",0.011
"cg00242233",0.011
"cg00272286",0.011
"cg00406460",0.011
"cg01831458",0.011
"cg01834014",0.011
"cg02211869",0.011
"cg02274705",0.011
"cg02457752",0.011
"cg02564124",0.011
"cg02873117",0.011
"cg03266942",0.011
"cg04028656",0.011
"cg04576858",0.011
"cg05290899",0.011
"cg06022838",0.011
"cg06106992",0.011
"cg06291093",0.011
"cg07143052",0.011
"cg07765714",0.011
"cg07825508",0.011
"cg08376304",0.011
"cg08661297",0.011
"cg08945297",0.011
"cg09251061",0.011
"cg09909221",0.011
"cg10153260",0.011
"cg10399711",0.011
"cg10706039",0.011
"cg10782454",0.011
"cg11859529",0.011
"cg11871549",0.011
"cg12066896",0.011
"cg12166502",0.011
"cg12497728",0.011
"cg12936905",0.011
"cg13041595",0.011
"cg13217333",0.011
"cg13985405",0.011
"cg14332086",0.011
"cg14854487",0.011
"cg14962776",0.011
"cg15084497",0.011
"cg15243764",0.011
"cg15298002",0.011
"cg15733713",0.011
"cg17391028",0.011
"cg18096738",0.011
"cg18155062",0.011
"cg18277082",0.011
"cg19807373",0.011
"cg19922860",0.011
"cg20291091",0.011
"cg20636840",0.011
"cg21183872",0.011
"cg21259967",0.011
"cg21705513",0.011
"cg21990184",0.011
"cg22645859",0.011
"cg23947969",0.011
"cg24149051",0.011
"cg24482133",0.011
"cg24735671",0.011
"cg25100404",0.011
"cg26030122",0.011
"cg27271445",0.011
"cg27345735",0.011
"cg27465531",0.011
"cg00190201",0.01
"cg01962233",0.01
"cg02125170",0.01
"cg02287936",0.01
"cg02386862",0.01
"cg02454309",0.01
"cg02472090",0.01
"cg02643376",0.01
"cg02971902",0.01
"cg03122511",0.01
"cg03553451",0.01
"cg04189723",0.01
"cg04919858",0.01
"cg05237610",0.01
"cg05516935",0.01
"cg05893072",0.01
"cg06574445",0.01
"cg06583446",0.01
"cg07264097",0.01
"cg07466166",0.01
"cg07781082",0.01
"cg07824128",0.01
"cg08417382",0.01
"cg08955859",0.01
"cg09700053",0.01
"cg10321928",0.01
"cg10353537",0.01
"cg11072201",0.01
"cg11397251",0.01
"cg11516680",0.01
"cg11890626",0.01
"cg12196769",0.01
"cg12703685",0.01
"cg12942133",0.01
"cg13105660",0.01
"cg13380953",0.01
"cg13886373",0.01
"cg14320120",0.01
"cg14736837",0.01
"cg14918074",0.01
"cg15363435",0.01
"cg15672735",0.01
"cg16641638",0.01
"cg16764296",0.01
"cg17731486",0.01
"cg17737014",0.01
"cg18230216",0.01
"cg19022384",0.01
"cg19379710",0.01
"cg19528502",0.01
"cg20447208",0.01
"cg20648463",0.01
"cg21164596",0.01
"cg21474854",0.01
"cg21503557",0.01
"cg22311892",0.01
"cg22657475",0.01
"cg22773657",0.01
"cg23050981",0.01
"cg23106845",0.01
"cg23783655",0.01
"cg24085719",0.01
"cg24239230",0.01
"cg24825446",0.01
"cg25524053",0.01
"cg26234774",0.01
"cg26295476",0.01
"cg26369340",0.01
"cg27615468",0.01
"cg00258480",0.009
"cg00310046",0.009
"cg00646659",0.009
"cg00782012",0.009
"cg00810519",0.009
"cg00931201",0.009
"cg01210880",0.009
"cg02035866",0.009
"cg02181651",0.009
"cg02746718",0.009
"cg02869694",0.009
"cg02898382",0.009
"cg03019842",0.009
"cg03101044",0.009
"cg03164831",0.009
"cg03449040",0.009
"cg03679005",0.009
"cg04565250",0.009
"cg04744025",0.009
"cg05576116",0.009
"cg06297686",0.009
"cg06852975",0.009
"cg07007780",0.009
"cg07148760",0.009
"cg07823797",0.009
"cg07861014",0.009
"cg08298085",0.009
"cg08384999",0.009
"cg08422514",0.009
"cg08572892",0.009
"cg09820553",0.009
"cg09835024",0.009
"cg10297211",0.009
"cg10950266",0.009
"cg11332123",0.009
"cg11550356",0.009
"cg11646050",0.009
"cg11938760",0.009
"cg12058262",0.009
"cg12128683",0.009
"cg12131641",0.009
"cg13286902",0.009
"cg13496888",0.009
"cg13566908",0.009
"cg13616144",0.009
"cg13622893",0.009
"cg13658777",0.009
"cg13706211",0.009
"cg13744306",0.009
"cg13976265",0.009
"cg14059333",0.009
"cg14385629",0.009
"cg15068728",0.009
"cg15483141",0.009
"cg16140223",0.009
"cg16193557",0.009
"cg16822572",0.009
"cg16957546",0.009
"cg17548175",0.009
"cg19544326",0.009
"cg20229989",0.009
"cg20549400",0.009
"cg20584415",0.009
"cg21635596",0.009
"cg21758197",0.009
"cg22674664",0.009
"cg22974997",0.009
"cg22991699",0.009
"cg23801579",0.009
"cg23828566",0.009
"cg23991947",0.009
"cg24130497",0.009
"cg25846190",0.009
"cg26257771",0.009
"cg26950400",0.009
"ch.X.102893131F",0.009
"cg00291310",0.008
"cg00524424",0.008
"cg00596686",0.008
"cg00745293",0.008
"cg00836047",0.008
"cg00971436",0.008
"cg01668553",0.008
"cg01966099",0.008
"cg02336026",0.008
"cg02589507",0.008
"cg02639793",0.008
"cg02931149",0.008
"cg03391801",0.008
"cg03676074",0.008
"cg03797408",0.008
"cg03971283",0.008
"cg03971469",0.008
"cg04243127",0.008
"cg04490290",0.008
"cg04675919",0.008
"cg04768312",0.008
"cg04904323",0.008
"cg04929022",0.008
"cg05088063",0.008
"cg05128946",0.008
"cg05185504",0.008
"cg05530348",0.008
"cg05784171",0.008
"cg06273903",0.008
"cg06294995",0.008
"cg06505213",0.008
"cg06616051",0.008
"cg06734027",0.008
"cg07274922",0.008
"cg07554949",0.008
"cg08063757",0.008
"cg08338459",0.008
"cg08479532",0.008
"cg08597743",0.008
"cg09738064",0.008
"cg09743261",0.008
"cg10230375",0.008
"cg10425944",0.008
"cg10879786",0.008
"cg11166173",0.008
"cg11583848",0.008
"cg11824111",0.008
"cg12012680",0.008
"cg12143138",0.008
"cg12468189",0.008
"cg12579386",0.008
"cg12704708",0.008
"cg13987126",0.008
"cg14007003",0.008
"cg14248913",0.008
"cg14287591",0.008
"cg14344749",0.008
"cg14886579",0.008
"cg14932573",0.008
"cg15612444",0.008
"cg16877430",0.008
"cg16881398",0.008
"cg17290095",0.008
"cg17498624",0.008
"cg17508549",0.008
"cg18000886",0.008
"cg19169186",0.008
"cg19534423",0.008
"cg19580826",0.008
"cg19748438",0.008
"cg21323637",0.008
"cg21414424",0.008
"cg21648502",0.008
"cg21690438",0.008
"cg23342702",0.008
"cg23469063",0.008
"cg23954206",0.008
"cg24142775",0.008
"cg24672310",0.008
"cg25027681",0.008
"cg25145032",0.008
"cg25452343",0.008
"cg25492574",0.008
"cg25547663",0.008
"cg26105341",0.008
"cg26418544",0.008
"cg26883351",0.008
"cg27213196",0.008
"cg27525527",0.008
"ch.X.1084981F",0.008
"cg00412554",0.007
"cg00473057",0.007
"cg00603890",0.007
"cg00679289",0.007
"cg00685229",0.007
"cg00688681",0.007
"cg00708437",0.007
"cg00812655",0.007
"cg01114138",0.007
"cg01545930",0.007
"cg01972979",0.007
"cg02129889",0.007
"cg02480419",0.007
"cg02602528",0.007
"cg02731223",0.007
"cg02859554",0.007
"cg03198117",0.007
"cg03207751",0.007
"cg03309411",0.007
"cg03538996",0.007
"cg03779312",0.007
"cg03835117",0.007
"cg03975829",0.007
"cg04012614",0.007
"cg04029630",0.007
"cg04118889",0.007
"cg04126963",0.007
"cg04479192",0.007
"cg04642759",0.007
"cg05206294",0.007
"cg05272837",0.007
"cg05392989",0.007
"cg05587158",0.007
"cg05792571",0.007
"cg05795649",0.007
"cg06206449",0.007
"cg06214863",0.007
"cg06555744",0.007
"cg06578851",0.007
"cg06597146",0.007
"cg06654051",0.007
"cg06857008",0.007
"cg06926113",0.007
"cg07161993",0.007
"cg07281120",0.007
"cg07336888",0.007
"cg07540624",0.007
"cg07869461",0.007
"cg07911140",0.007
"cg08097522",0.007
"cg08749393",0.007
"cg08905118",0.007
"cg09076540",0.007
"cg09109531",0.007
"cg09287459",0.007
"cg09497522",0.007
"cg09991056",0.007
"cg10274815",0.007
"cg10716351",0.007
"cg11158236",0.007
"cg11370142",0.007
"cg11564346",0.007
"cg11805814",0.007
"cg11825731",0.007
"cg12047536",0.007
"cg12239742",0.007
"cg12245519",0.007
"cg12676593",0.007
"cg13445089",0.007
"cg13578591",0.007
"cg13987429",0.007
"cg14127907",0.007
"cg14652218",0.007
"cg15010091",0.007
"cg15480941",0.007
"cg15872383",0.007
"cg16319308",0.007
"cg16412513",0.007
"cg16533728",0.007
"cg16832801",0.007
"cg16930349",0.007
"cg17057424",0.007
"cg17756023",0.007
"cg18389023",0.007
"cg18463605",0.007
"cg18512357",0.007
"cg18636634",0.007
"cg18786173",0.007
"cg18803431",0.007
"cg19056008",0.007
"cg19257537",0.007
"cg19339335",0.007
"cg19839614",0.007
"cg20271609",0.007
"cg20371650",0.007
"cg20679251",0.007
"cg20789492",0.007
"cg20802123",0.007
"cg21903718",0.007
"cg22405865",0.007
"cg22543648",0.007
"cg22569627",0.007
"cg22771999",0.007
"cg23107158",0.007
"cg23324012",0.007
"cg23429962",0.007
"cg23834765",0.007
"cg24052239",0.007
"cg24130554",0.007
"cg24432916",0.007
"cg24547622",0.007
"cg24667547",0.007
"cg24711306",0.007
"cg24849035",0.007
"cg25032424",0.007
"cg25186154",0.007
"cg25189543",0.007
"cg25403475",0.007
"cg25437005",0.007
"cg25442267",0.007
"cg25496213",0.007
"cg25549255",0.007
"cg25832529",0.007
"cg25849068",0.007
"cg26101161",0.007
"cg26381742",0.007
"cg26910554",0.007
"cg26955881",0.007
"cg27370143",0.007
"cg27557909",0.007
"cg00149489",0.006
"cg00151234",0.006
"cg00177456",0.006
"cg00238155",0.006
"cg00465090",0.006
"cg00643323",0.006
"cg00701952",0.006
"cg01013491",0.006
"cg01043588",0.006
"cg01749261",0.006
"cg01768144",0.006
"cg01812980",0.006
"cg01912769",0.006
"cg01913400",0.006
"cg01962414",0.006
"cg02314729",0.006
"cg02498853",0.006
"cg02502174",0.006
"cg02693916",0.006
"cg02714462",0.006
"cg02819256",0.006
"cg02864732",0.006
"cg02921434",0.006
"cg03179745",0.006
"cg03657257",0.006
"cg03766586",0.006
"cg04510816",0.006
"cg05497266",0.006
"cg05512301",0.006
"cg05839786",0.006
"cg05892376",0.006
"cg05947181",0.006
"cg06027835",0.006
"cg06185870",0.006
"cg06334238",0.006
"cg06455967",0.006
"cg06547401",0.006
"cg06762527",0.006
"cg06919903",0.006
"cg06967400",0.006
"cg06989477",0.006
"cg07120910",0.006
"cg07136610",0.006
"cg07177300",0.006
"cg07349685",0.006
"cg07578382",0.006
"cg07667785",0.006
"cg08015011",0.006
"cg08149509",0.006
"cg08279496",0.006
"cg08329683",0.006
"cg08343300",0.006
"cg08800499",0.006
"cg08896359",0.006
"cg08938749",0.006
"cg09324116",0.006
"cg09335761",0.006
"cg09713797",0.006
"cg09904148",0.006
"cg10072574",0.006
"cg10201390",0.006
"cg10244997",0.006
"cg10288121",0.006
"cg10401803",0.006
"cg10443532",0.006
"cg10685452",0.006
"cg10929993",0.006
"cg11081453",0.006
"cg11343364",0.006
"cg11442616",0.006
"cg11483718",0.006
"cg11502922",0.006
"cg11640914",0.006
"cg11669707",0.006
"cg12000228",0.006
"cg12198632",0.006
"cg12316935",0.006
"cg12462026",0.006
"cg12716696",0.006
"cg13376417",0.006
"cg13440244",0.006
"cg13472632",0.006
"cg13552866",0.006
"cg13780945",0.006
"cg13799758",0.006
"cg13892082",0.006
"cg14006678",0.006
"cg14110715",0.006
"cg14233178",0.006
"cg14621531",0.006
"cg14773858",0.006
"cg14964387",0.006
"cg15008991",0.006
"cg15031088",0.006
"cg15212426",0.006
"cg15224550",0.006
"cg15383797",0.006
"cg15450782",0.006
"cg15878428",0.006
"cg15923127",0.006
"cg16181678",0.006
"cg16475631",0.006
"cg16667768",0.006
"cg16892087",0.006
"cg17003204",0.006
"cg17219209",0.006
"cg17274024",0.006
"cg17497643",0.006
"cg17603461",0.006
"cg17686430",0.006
"cg17914143",0.006
"cg17976175",0.006
"cg17998237",0.006
"cg18107314",0.006
"cg18173255",0.006
"cg18386948",0.006
"cg18507125",0.006
"cg18751919",0.006
"cg18778986",0.006
"cg19206010",0.006
"cg19208477",0.006
"cg19331065",0.006
"cg19429791",0.006
"cg19584075",0.006
"cg19614248",0.006
"cg19726162",0.006
"cg19770547",0.006
"cg19969871",0.006
"cg19989944",0.006
"cg20140483",0.006
"cg20207989",0.006
"cg20471612",0.006
"cg20539656",0.006
"cg20767845",0.006
"cg20781383",0.006
"cg20859738",0.006
"cg20980660",0.006
"cg21290550",0.006
