Table S1: A list of CpG sites with methylation patterns in Figure 1 & Additional file 1: Fig. S1,,
cpg,color,pattern
cg01275664,black,C
cg01284128,black,C
cg01303569,red,A
cg01310267,green,B
cg01318188,red,A
cg01333849,red,A
cg01353788,red,A
cg01364818,red,A
cg01366378,red,A
cg01370077,red,A
cg01370179,grey,rest
cg01374431,red,A
cg01397290,red,A
cg01404988,green,B
cg01405303,red,A
cg01411845,green,B
cg01413492,black,C
cg01419069,black,C
cg01434723,red,A
cg01472347,green,B
cg01477427,red,A
cg01483252,red,A
cg01522249,grey,rest
cg01533115,red,A
cg01538344,grey,rest
cg01543116,red,A
cg01555661,red,A
cg01573544,green,B
cg01573782,red,A
cg01600123,red,A
cg01600263,red,A
cg01668271,red,A
cg01671070,red,A
cg01706033,grey,rest
cg01710449,black,C
cg01728536,black,C
cg01732428,green,B
cg01737421,red,A
cg01742836,red,A
cg01755617,red,A
cg01757402,grey,rest
cg01759889,red,A
cg01762011,red,A
cg01773478,red,A
cg01777017,red,A
cg01798375,red,A
cg01804836,red,A
cg01807728,red,A
cg01813294,red,A
cg01814235,black,C
cg01821906,black,C
cg01825872,red,A
cg01828474,red,A
cg01831199,grey,rest
cg01832419,red,A
cg01850541,grey,rest
cg01857253,red,A
cg01869765,red,A
cg01873087,red,A
cg01891172,red,A
cg01913024,red,A
cg01913196,grey,rest
cg01915804,red,A
cg01924074,red,A
cg01938887,red,A
cg01972979,black,C
cg01990854,black,C
cg01991530,red,A
cg01992935,red,A
cg01996818,red,A
cg01997410,red,A
cg01999076,red,A
cg01999212,green,B
cg02004156,red,A
cg02010442,red,A
cg02031980,grey,rest
cg02035866,red,A
cg02049865,red,A
cg02062238,red,A
cg02064569,grey,rest
cg02124059,red,A
cg02127807,red,A
cg02151779,red,A
cg02156712,green,B
cg02156782,red,A
cg02157475,red,A
cg02161125,red,A
cg02161919,red,A
cg02188515,black,C
cg02195366,red,A
cg02201836,red,A
cg02210067,red,A
cg02214597,red,A
cg02223323,red,A
cg02225164,grey,rest
cg02229344,red,A
cg02261899,red,A
cg02268650,grey,rest
cg02274705,red,A
cg02275875,grey,rest
cg02276461,red,A
cg02283535,red,A
cg02285254,red,A
cg02285579,red,A
cg02286623,red,A
cg02288667,red,A
cg02291897,red,A
cg02293258,red,A
cg02295369,red,A
cg02295504,red,A
cg02327549,red,A
cg02330362,red,A
cg02332456,grey,rest
cg02333283,red,A
cg02337670,red,A
cg02353937,green,B
cg02354343,red,A
cg02360578,red,A
cg02386310,red,A
cg02393514,green,B
cg02417823,grey,rest
cg02480419,red,A
cg02496423,red,A
cg02510708,red,A
cg02522370,red,A
cg02533866,red,A
cg02538330,red,A
cg02539591,red,A
cg02540440,purple,D
cg02540826,red,A
cg02580986,grey,rest
cg02581653,grey,rest
cg02589074,red,A
cg02600772,black,C
cg02602182,green,B
cg02602528,red,A
cg02615131,red,A
cg02621658,red,A
cg02623256,red,A
cg02623604,red,A
cg02624484,red,A
cg02634083,red,A
cg02639793,grey,rest
cg02685544,green,B
cg02714202,red,A
cg02714462,black,C
cg02723311,green,B
cg02742918,grey,rest
cg02746718,black,C
cg02770249,red,A
cg02772106,red,A
cg02775175,red,A
cg02803670,red,A
cg02810043,green,B
cg02821380,red,A
cg02859554,red,A
cg02864732,red,A
cg02869694,red,A
cg02875834,grey,rest
cg02879223,red,A
cg02883100,grey,rest
cg02890812,red,A
cg02894810,grey,rest
cg02896361,red,A
cg02909397,red,A
cg02918903,grey,rest
cg02921434,red,A
cg02929371,red,A
cg02931149,black,C
cg02932805,red,A
cg02935635,black,C
cg02936290,grey,rest
cg02937293,red,A
cg02938958,red,A
cg02939364,red,A
cg02954623,red,A
cg02971392,black,C
cg02971902,red,A
cg02973417,black,C
cg02994943,red,A
cg02997061,grey,rest
cg03024957,red,A
cg03031357,red,A
cg03043267,green,B
cg03043405,green,B
cg03048084,green,B
cg03055372,red,A
cg03056321,red,A
cg03100923,red,A
cg03102848,green,B
cg03104298,red,A
cg03120461,red,A
cg03128268,grey,rest
cg03139204,grey,rest
cg03140487,grey,rest
cg03171708,red,A
cg03177323,grey,rest
cg03189022,red,A
cg03202526,red,A
cg03213202,red,A
cg03219705,red,A
cg03240752,black,C
cg03244432,red,A
cg03245429,grey,rest
cg03272642,red,A
cg03280420,red,A
cg03315431,grey,rest
cg03323437,red,A
cg03334316,red,A
cg03335173,red,A
cg03347749,red,A
cg03348338,green,B
cg03360001,black,C
cg03360374,red,A
cg03363535,red,A
cg03364121,red,A
cg03370193,red,A
cg03374735,black,C
cg03391801,red,A
cg03440272,red,A
cg03440485,grey,rest
cg03513471,red,A
cg03514678,red,A
cg03517379,red,A
cg03523199,red,A
cg03553781,black,C
cg03554089,grey,rest
cg03580328,red,A
cg03601619,black,C
cg03605032,red,A
cg03657257,grey,rest
cg03658985,grey,rest
cg03670113,red,A
cg03672915,red,A
cg03675615,purple,D
cg03679005,red,A
cg03679269,red,A
cg03683587,red,A
cg03687305,black,C
cg03691313,red,A
cg03705894,red,A
cg03717198,red,A
cg03718079,red,A
cg03723123,red,A
cg03723195,green,B
cg03723938,green,B
cg03728850,red,A
cg03730082,red,A
cg03748372,red,A
cg03748858,black,C
cg03751162,red,A
cg03752015,grey,rest
cg03754195,grey,rest
cg03757053,black,C
cg03759948,red,A
cg03769817,red,A
cg03801901,grey,rest
cg03802424,red,A
cg03802931,grey,rest
cg03806192,red,A
cg03811055,green,B
cg03814733,red,A
cg03822658,black,C
cg03825574,red,A
cg03831206,red,A
cg03832506,black,C
cg03851490,grey,rest
cg03892808,red,A
cg03894002,red,A
cg03900860,red,A
cg03905487,red,A
cg03906572,red,A
cg03927302,red,A
cg03944921,red,A
cg03959273,red,A
cg03968699,grey,rest
cg03971283,red,A
cg03971469,red,A
cg03978312,red,A
cg03983969,red,A
cg03989304,red,A
cg04026379,red,A
cg04027004,red,A
cg04027312,red,A
cg04029282,red,A
cg04029366,black,C
cg04029664,red,A
cg04031645,red,A
cg04033011,black,C
cg04037732,grey,rest
cg04039555,red,A
cg04055739,grey,rest
cg04061482,red,A
cg04065558,green,B
cg04065832,grey,rest
cg04072009,red,A
cg04075675,red,A
cg04094482,red,A
cg04096096,green,B
cg04128303,red,A
cg04149024,red,A
cg04166210,red,A
cg04167532,grey,rest
cg04177426,red,A
cg04184316,red,A
cg04186471,black,C
cg04190662,red,A
cg04216286,red,A
cg04238575,grey,rest
cg04288012,red,A
cg04290452,grey,rest
cg04292836,red,A
cg04294190,grey,rest
cg04297907,red,A
cg04298609,red,A
cg04301343,grey,rest
cg04302178,red,A
cg04302300,red,A
cg04317640,red,A
cg04327763,red,A
cg04344997,red,A
cg04345928,red,A
cg04371001,red,A
cg04376185,red,A
cg04381324,green,B
cg04387098,red,A
cg04388383,red,A
cg04393989,black,C
cg04402486,red,A
cg04406445,red,A
cg04413754,grey,rest
cg04414946,grey,rest
cg04419618,red,A
cg04424654,red,A
cg04428826,grey,rest
cg04481865,red,A
cg04490290,red,A
cg04493225,black,C
cg04495420,black,C
cg04524851,red,A
cg04552106,red,A
cg04624564,purple,D
cg04626171,red,A
cg04630982,grey,rest
cg04646630,grey,rest
cg04647039,grey,rest
cg04650971,red,A
cg04663649,red,A
cg04665139,red,A
cg04667267,red,A
cg04675919,red,A
cg04685060,black,C
cg04691867,red,A
cg04699313,black,C
cg04702045,red,A
cg04709809,red,A
cg04712194,red,A
cg04716051,red,A
cg04730443,grey,rest
cg04734394,red,A
cg04739874,red,A
cg04744025,red,A
cg04748497,red,A
cg04752574,red,A
cg04763286,red,A
cg04764476,red,A
cg04765675,green,B
cg04771154,red,A
cg04777541,black,C
cg04779297,red,A
cg04820593,red,A
cg04820960,green,B
cg04836978,red,A
cg04843066,grey,rest
cg04855291,black,C
cg04855977,red,A
cg04856605,red,A
cg04924141,red,A
cg04924736,red,A
cg04927657,green,B
cg04927982,green,B
cg04929599,red,A
cg04931939,green,B
cg04932755,red,A
cg05028071,red,A
cg05031352,black,C
cg05032098,red,A
cg05032353,red,A
cg05032903,red,A
cg05045028,red,A
cg05045659,black,C
cg05049545,red,A
cg05059648,red,A
cg05064925,red,A
cg05086798,red,A
cg05087624,black,C
cg05088151,red,A
cg05091491,black,C
cg05091873,red,A
cg05096434,red,A
cg05096731,red,A
cg05100261,red,A
cg05104476,red,A
cg05109065,red,A
cg05109619,red,A
cg05114100,grey,rest
cg05124235,green,B
cg05127178,red,A
cg05134041,red,A
cg05135828,red,A
cg05137263,red,A
cg05140257,red,A
cg05147108,red,A
cg05152874,red,A
cg05172693,red,A
cg05181702,red,A
cg05184436,black,C
cg05184682,red,A
cg05196231,green,B
cg05200254,red,A
cg05200893,green,B
cg05206294,red,A
cg05219621,grey,rest
cg05222959,red,A
cg05223760,red,A
cg05237970,red,A
cg05239680,red,A
cg05242815,red,A
cg05257372,black,C
cg05260852,red,A
cg05260949,black,C
cg05288927,red,A
cg05293502,black,C
cg05356800,black,C
cg05370638,red,A
cg05374090,red,A
cg05378963,black,C
cg05379196,red,A
cg05393376,green,B
cg05397816,red,A
cg05411132,grey,rest
cg05411980,black,C
cg05414241,red,A
cg05424879,red,A
cg05425577,red,A
cg05438092,red,A
cg05442715,red,A
cg05443523,red,A
cg05445331,red,A
cg05449830,grey,rest
cg05452887,red,A
cg05453458,red,A
cg05454424,grey,rest
cg05461361,red,A
cg05463813,black,C
cg05467600,red,A
cg05473496,green,B
cg05474077,grey,rest
cg05476089,red,A
cg05476522,red,A
cg05479376,green,B
cg05526804,red,A
cg05532720,black,C
cg05533223,purple,D
cg05534333,red,A
cg05551025,grey,rest
cg05572834,green,B
cg05600581,red,A
cg05605384,red,A
cg05629323,black,C
cg05630320,red,A
cg05679489,grey,rest
cg05685296,black,C
cg05687312,red,A
cg05692422,grey,rest
cg05704524,red,A
cg05721877,purple,D
cg05747459,red,A
cg05782106,red,A
cg05785344,red,A
cg05788681,red,A
cg05799859,red,A
cg05803370,red,A
cg05803913,red,A
cg05804339,green,B
cg05806018,red,A
cg05829338,red,A
cg05835545,red,A
cg05849149,red,A
cg05849875,red,A
cg05866836,green,B
cg05872222,red,A
cg05876899,black,C
cg05887304,red,A
cg05893072,red,A
cg05899999,red,A
cg05905814,red,A
cg05908188,red,A
cg05911774,black,C
cg05914696,red,A
cg05922253,red,A
cg05935584,red,A
cg05941375,red,A
cg05946161,green,B
cg05947181,red,A
cg05950094,red,A
cg05958126,red,A
cg05994819,red,A
cg05996419,red,A
cg06016676,grey,rest
cg06022838,grey,rest
cg06024075,black,C
cg06027835,red,A
cg06039729,red,A
cg06041068,red,A
cg06042004,red,A
cg06051391,red,A
cg06053110,red,A
cg06055478,red,A
cg06069996,red,A
cg06070578,grey,rest
cg06072560,red,A
cg06077978,red,A
cg06079963,red,A
cg06084034,red,A
cg06093412,red,A
cg06097615,red,A
cg06098232,red,A
cg06104510,red,A
cg06104959,red,A
cg06119392,green,B
cg06124711,red,A
cg06130360,grey,rest
cg06131666,grey,rest
cg06135529,red,A
cg06135650,red,A
cg06136002,red,A
cg06137672,red,A
cg06139288,red,A
cg06144825,grey,rest
cg06144999,red,A
cg06148972,red,A
cg06158088,red,A
cg06164717,red,A
cg06172626,red,A
cg06174815,red,A
cg06178309,green,B
cg06185870,red,A
cg06206449,red,A
cg06228453,red,A
cg06252876,red,A
cg06256785,black,C
cg06266461,red,A
cg06267203,grey,rest
cg06272245,red,A
cg06282443,black,C
cg06282524,red,A
cg06288270,grey,rest
cg06293983,red,A
cg06295352,red,A
cg06297686,red,A
cg06300944,green,B
cg06302025,red,A
cg06309256,green,B
cg06334238,red,A
cg06376033,grey,rest
cg06380355,red,A
cg06407366,green,B
cg06408025,red,A
cg06408185,red,A
cg06408301,red,A
cg06411441,red,A
cg06428288,red,A
cg06443675,red,A
cg06443888,red,A
cg06444329,red,A
cg06462425,green,B
cg06464066,red,A
cg06467636,grey,rest
cg06469252,red,A
cg06472116,grey,rest
cg06506080,red,A
cg06510592,red,A
cg06511189,red,A
cg06521531,red,A
cg06535161,red,A
cg06538336,red,A
cg06540859,red,A
cg06544877,red,A
cg06551391,red,A
cg06554760,red,A
cg06558166,red,A
cg06614969,red,A
cg06615444,red,A
cg06616857,red,A
cg06624970,red,A
cg06625916,black,C
cg06630839,red,A
cg06649034,grey,rest
cg06650546,red,A
cg06654051,black,C
cg06672093,grey,rest
cg06673178,red,A
cg06700462,red,A
cg06705078,red,A
cg06720669,red,A
cg06721573,red,A
cg06746884,red,A
cg06774787,red,A
cg06775759,red,A
cg06779458,red,A
cg06779802,red,A
cg06783548,red,A
cg06791102,red,A
cg06796204,red,A
cg06803079,red,A
cg06804788,red,A
cg06805513,red,A
cg06807018,red,A
cg06834235,red,A
cg06899582,red,A
cg06915321,red,A
cg06915915,red,A
cg06922569,red,A
cg06938654,black,C
cg06943437,red,A
cg06943593,red,A
cg06944922,red,A
cg06945800,red,A
cg06963219,black,C
cg06963664,black,C
cg06964654,red,A
cg06968752,grey,rest
cg07012573,red,A
cg07038409,red,A
cg07051162,red,A
cg07051329,red,A
cg07056506,red,A
cg07066594,red,A
cg07086565,red,A
cg07089242,red,A
cg07093674,black,C
cg07096038,green,B
cg07096248,green,B
cg07098277,grey,rest
cg07109010,red,A
cg07136872,red,A
cg07153944,red,A
cg07156563,red,A
cg07160107,grey,rest
cg07167981,green,B
cg07172237,black,C
cg07187289,red,A
cg07194250,black,C
cg07200487,red,A
cg07206010,black,C
cg07207959,black,C
cg07215528,red,A
cg07261646,red,A
cg07276379,green,B
cg07312966,red,A
cg07344627,grey,rest
cg07363416,red,A
cg07381502,red,A
cg07386410,red,A
cg07393670,red,A
cg07395435,red,A
cg07405239,black,C
cg07413830,green,B
cg07416427,black,C
cg07419801,red,A
cg07439872,red,A
cg07446674,red,A
cg07458836,green,B
cg07464524,red,A
cg07464598,red,A
cg07466166,red,A
cg07481063,green,B
cg07516457,red,A
cg07519908,red,A
cg07550694,black,C
cg07553115,red,A
cg07647518,red,A
cg07648454,red,A
cg07650623,grey,rest
cg07652272,green,B
cg07653640,red,A
cg07653728,red,A
cg07658614,green,B
cg07659240,red,A
cg07660411,green,B
cg07674075,red,A
cg07674139,red,A
cg07674503,red,A
cg07681512,red,A
cg07682072,red,A
cg07686944,red,A
cg07688057,green,B
cg07693301,red,A
cg07693661,red,A
cg07750402,red,A
cg07758529,red,A
cg07771637,red,A
cg07779434,red,A
cg07781082,red,A
cg07806343,red,A
cg07809462,red,A
cg07810164,green,B
cg07816287,red,A
cg07822777,red,A
cg07823797,red,A
cg07825508,red,A
cg07828380,red,A
cg07834773,red,A
cg07837161,red,A
cg07858069,red,A
cg07861180,red,A
cg07862274,green,B
cg07865580,red,A
cg07867687,red,A
cg07868857,red,A
cg07874334,red,A
cg07880562,black,C
cg07887243,red,A
cg07896193,red,A
cg07902213,red,A
cg07910525,red,A
cg07912337,red,A
cg07928156,green,B
cg07929406,red,A
cg07930217,red,A
cg07933790,black,C
cg07951153,red,A
cg07954607,red,A
cg07973464,red,A
cg07989867,grey,rest
cg07990395,red,A
cg07994386,red,A
cg08059778,red,A
cg08063601,red,A
cg08063757,black,C
cg08076861,red,A
cg08100265,red,A
cg08100618,red,A
cg08108619,red,A
cg08141744,black,C
cg08147391,black,C
cg08199506,red,A
cg08202860,red,A
cg08209483,red,A
cg08211022,green,B
cg08261988,red,A
cg08276328,grey,rest
cg08279515,red,A
cg08282540,red,A
cg08282969,red,A
cg08291693,black,C
cg08298085,red,A
cg08311689,black,C
cg08313132,green,B
cg08323957,grey,rest
cg08340716,black,C
cg08341987,green,B
cg08343300,red,A
cg08351598,black,C
cg08358587,red,A
cg08363715,green,B
cg08384999,grey,rest
cg08405463,red,A
cg08408091,red,A
cg08415785,grey,rest
cg08417382,red,A
cg08422514,red,A
cg08437835,red,A
cg08446143,black,C
cg08446187,red,A
cg08447449,red,A
cg08464305,red,A
cg08470157,red,A
cg08476890,grey,rest
cg08479532,red,A
cg08479711,red,A
cg08491314,red,A
cg08578454,black,C
cg08579577,grey,rest
cg08588626,red,A
cg08605656,grey,rest
cg08609270,red,A
cg08617833,grey,rest
cg08622041,black,C
cg08622149,green,B
cg08623691,red,A
cg08626646,red,A
cg08627233,red,A
cg08637771,red,A
cg08637905,red,A
cg08648877,red,A
cg08683562,red,A
cg08689075,black,C
cg08703114,red,A
cg08704539,grey,rest
cg08719422,grey,rest
cg08725455,grey,rest
cg08757574,grey,rest
cg08757719,red,A
cg08777147,green,B
cg08783090,red,A
cg08784874,red,A
cg08790343,grey,rest
cg08796898,red,A
cg08798116,red,A
cg08812897,red,A
cg08817443,red,A
cg08818092,grey,rest
cg08818224,black,C
cg08818886,green,B
cg08848711,red,A
cg08850124,black,C
cg08859156,green,B
cg08881528,red,A
cg08882363,red,A
cg08905118,red,A
cg08950703,red,A
cg08952424,red,A
cg08955276,red,A
cg08964402,red,A
cg08966380,red,A
cg08969352,red,A
cg08980509,red,A
cg08994891,red,A
cg08998989,red,A
cg09018810,red,A
cg09024810,red,A
cg09033783,black,C
cg09034929,red,A
cg09038535,red,A
cg09056691,red,A
cg09060772,red,A
cg09061583,red,A
cg09068301,red,A
cg09070199,red,A
cg09072865,red,A
cg09080960,red,A
cg09084933,red,A
cg09091181,red,A
cg09109599,red,A
cg09112156,red,A
cg09121987,red,A
cg09132264,green,B
cg09134165,red,A
cg09134399,green,B
cg09146129,grey,rest
cg09146364,red,A
cg09158774,red,A
cg09159923,green,B
cg09168980,black,C
cg09173743,black,C
cg09185350,red,A
cg09192059,red,A
cg09196081,red,A
cg09207137,red,A
cg09210933,red,A
cg09229960,red,A
cg09285672,red,A
cg09307104,red,A
cg09309899,red,A
cg09310980,red,A
cg09329826,grey,rest
cg09342610,red,A
cg09357232,green,B
cg09368074,red,A
cg09406238,red,A
cg09411587,red,A
cg09418475,red,A
cg09425262,black,C
cg09434493,red,A
cg09443073,grey,rest
cg09513996,grey,rest
cg09514431,red,A
cg09521623,purple,D
cg09523186,red,A
cg09523866,green,B
cg09524087,green,B
cg09525227,red,A
cg09551204,grey,rest
cg09559792,green,B
cg09597400,red,A
cg09606452,black,C
cg09610569,red,A
cg09610589,red,A
cg09614506,black,C
cg09619693,red,A
cg09622432,black,C
cg09624684,red,A
cg09655497,red,A
cg09656426,red,A
cg09659817,green,B
cg09666011,red,A
cg09673331,black,C
cg09679059,green,B
cg09687738,grey,rest
cg09720515,red,A
cg09721174,green,B
cg09725213,grey,rest
cg09731029,black,C
cg09734952,green,B
cg09738386,red,A
cg09743287,red,A
cg09768249,green,B
cg09773839,red,A
cg09786233,red,A
cg09789426,grey,rest
cg09790289,red,A
cg09792758,grey,rest
cg09793609,red,A
cg09795422,black,C
cg09796544,red,A
cg09799350,red,A
cg09803537,green,B
cg09813276,red,A
cg09815793,red,A
cg09817171,black,C
cg09819081,black,C
cg09821007,grey,rest
cg09834142,red,A
cg09835024,green,B
cg09850561,red,A
cg09863225,red,A
cg09868337,red,A
cg09895223,grey,rest
cg09909221,red,A
cg09953988,black,C
cg09965404,red,A
cg09978401,red,A
cg09985072,red,A
cg09990556,red,A
cg09990582,red,A
cg09996779,red,A
cg09998474,red,A
cg10047502,red,A
cg10052922,red,A
cg10055097,red,A
cg10066681,black,C
cg10070668,red,A
cg10078687,red,A
cg10080474,black,C
cg10088365,green,B
cg10088372,red,A
cg10169869,green,B
cg10172210,black,C
cg10191387,red,A
cg10201390,red,A
cg10207070,red,A
cg10261457,black,C
cg10265387,red,A
cg10274815,red,A
cg10286673,red,A
cg10286829,green,B
cg10288106,green,B
cg10288278,red,A
cg10291990,red,A
cg10297211,red,A
cg10305945,red,A
cg10308137,green,B
cg10315562,red,A
cg10347293,red,A
cg10347326,red,A
cg10413105,grey,rest
cg10421300,red,A
cg10451760,red,A
cg10460864,red,A
cg10473383,red,A
cg10482495,red,A
cg10500026,red,A
cg10510586,red,A
cg10551631,grey,rest
cg10575236,red,A
cg10645578,red,A
cg10655551,red,A
cg10659052,black,C
cg10674704,red,A
cg10701490,red,A
cg10703213,black,C
cg10706039,red,A
cg10706590,green,B
cg10709771,grey,rest
cg10717149,red,A
cg10718795,red,A
cg10721440,red,A
cg10734526,green,B
cg10739728,black,C
cg10796634,black,C
cg10848980,red,A
cg10851587,black,C
cg10856819,green,B
cg10860619,red,A
cg10861555,red,A
cg10869159,red,A
cg10869581,red,A
cg10873964,red,A
cg10874556,grey,rest
cg10912974,red,A
cg10913852,green,B
cg10914789,red,A
cg10941721,black,C
cg10950266,red,A
cg10950413,red,A
cg10956264,red,A
cg10978884,red,A
cg10983111,red,A
cg10984692,black,C
cg10986455,grey,rest
cg10987536,red,A
cg10991108,red,A
cg10991514,red,A
cg10995081,red,A
cg11005845,red,A
cg11021247,red,A
cg11024449,red,A
cg11024551,green,B
cg11033833,red,A
cg11049154,red,A
cg11049634,purple,D
cg11049774,red,A
cg11081925,red,A
cg11082424,red,A
cg11082630,black,C
cg11107468,red,A
cg11111131,red,A
cg11111271,red,A
cg11116781,red,A
cg11143827,purple,D
cg11152253,red,A
cg11154719,red,A
cg11165443,black,C
cg11170680,black,C
cg11179629,red,A
cg11184697,red,A
cg11184796,red,A
cg11185978,red,A
cg11186637,red,A
cg11186981,red,A
cg11190082,red,A
cg11193681,red,A
cg11194545,red,A
cg11233153,red,A
cg11267664,black,C
cg11267692,black,C
cg11271681,red,A
cg11281291,red,A
cg11281673,red,A
cg11286196,red,A
cg11308037,red,A
cg11320369,grey,rest
cg11322406,grey,rest
cg11329209,red,A
cg11337025,red,A
cg11344644,red,A
cg11395955,green,B
cg11409998,red,A
cg11426662,green,B
cg11442732,grey,rest
cg11449070,grey,rest
cg11450947,red,A
cg11458217,red,A
cg11502922,black,C
cg11506821,red,A
cg11509903,red,A
cg11520843,red,A
cg11616438,red,A
cg11633007,grey,rest
cg11637006,red,A
cg11638117,red,A
cg11647489,red,A
cg11653314,red,A
cg11653864,red,A
cg11654517,red,A
cg11663393,red,A
cg11670235,green,B
cg11673471,red,A
cg11704309,red,A
cg11704979,red,A
cg11712793,red,A
cg11719509,grey,rest
cg11720358,red,A
cg11721100,red,A
cg11723766,red,A
cg11778030,red,A
cg11825731,red,A
cg11839979,red,A
cg11851349,red,A
cg11858468,red,A
cg11859529,red,A
cg11863519,red,A
cg11865900,black,C
cg11875624,red,A
cg11895950,green,B
cg11902811,red,A
cg11923207,red,A
cg11923788,red,A
cg11957438,red,A
cg12026625,red,A
cg12039967,red,A
cg12044418,green,B
cg12057563,grey,rest
cg12058262,red,A
cg12058840,red,A
cg12064531,red,A
cg12075609,red,A
cg12077024,black,C
cg12111783,grey,rest
cg12113703,grey,rest
cg12116395,black,C
cg12128683,red,A
cg12130015,red,A
cg12137402,red,A
cg12145026,red,A
cg12147998,green,B
cg12152167,red,A
cg12165338,red,A
cg12165354,red,A
cg12166502,red,A
cg12166599,grey,rest
cg12175122,red,A
cg12228772,red,A
cg12230162,grey,rest
cg12234922,red,A
cg12234996,green,B
cg12239365,red,A
cg12263679,red,A
cg12277627,red,A
cg12284142,red,A
cg12295100,red,A
cg12298823,red,A
cg12312457,red,A
cg12323723,red,A
cg12375308,red,A
cg12377327,red,A
cg12386568,grey,rest
cg12413138,red,A
cg12417702,grey,rest
cg12419383,red,A
cg12419462,red,A
cg12447182,red,A
cg12449211,black,C
cg12459719,red,A
cg12469471,grey,rest
cg12472218,red,A
cg12481306,red,A
cg12481479,red,A
cg12482502,grey,rest
cg12485020,grey,rest
cg12501871,red,A
cg12521678,black,C
cg12521790,red,A
cg12523974,red,A
cg12526869,red,A
cg12544391,red,A
cg12579866,black,C
cg12584551,red,A
cg12586718,red,A
cg12598428,red,A
cg12614178,red,A
cg12614702,red,A
cg12704708,red,A
cg12709057,red,A
cg12726278,red,A
cg12727431,red,A
cg12737514,grey,rest
cg12747864,red,A
cg12814550,red,A
cg12841929,red,A
cg12856112,black,C
cg12857026,black,C
cg12857193,red,A
cg12858650,black,C
cg12875241,grey,rest
cg12882438,red,A
cg12914043,grey,rest
cg12920408,red,A
cg12932046,red,A
cg12935118,red,A
cg12944030,red,A
cg12950231,black,C
cg12950441,green,B
cg12978205,green,B
cg13014545,red,A
cg13014982,red,A
cg13023833,red,A
cg13024202,red,A
cg13024624,red,A
cg13033283,red,A
cg13075926,red,A
cg13077247,black,C
cg13115118,red,A
cg13115455,red,A
cg13116097,black,C
cg13120260,red,A
cg13130271,red,A
cg13148563,black,C
cg13178935,red,A
cg13182391,red,A
cg13182820,red,A
cg13187778,red,A
cg13189687,red,A
cg13190238,red,A
cg13190540,red,A
cg13192155,red,A
cg13192819,black,C
cg13203541,red,A
cg13204538,red,A
cg13208429,red,A
cg13213216,black,C
cg13214937,red,A
cg13217661,red,A
cg13225368,green,B
cg13232664,red,A
cg13240932,red,A
cg13241003,red,A
cg13244998,red,A
cg13246025,black,C
cg13273147,grey,rest
cg13274727,green,B
cg13277716,green,B
cg13304035,red,A
cg13307142,red,A
cg13311758,red,A
cg13312942,grey,rest
cg13369210,red,A
cg13371527,red,A
cg13392184,black,C
cg13423140,grey,rest
cg13430745,red,A
cg13440244,black,C
cg13501371,grey,rest
cg13524991,green,B
cg13532816,red,A
cg13532885,red,A
cg13538773,green,B
cg13539181,red,A
cg13568559,green,B
cg13569417,red,A
cg13574945,red,A
cg13581022,black,C
